agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
FLORENCE PD,NA,0,0,0,0,1,1,0,2,1280,12,2018,Williamson
LEANDER PD,NA,0,27,3,18,44,443,14,549,53637,12,2018,Williamson
TAYLOR PD,NA,0,8,5,37,92,281,14,437,17225,12,2018,Williamson
GRANGER PD,NA,0,0,0,0,3,7,1,11,1531,12,2018,Williamson
WILLIAMSON CO SO,NA,2,60,18,126,313,1053,82,1654,137906,12,2018,Williamson
THRALL PD (NR),NA,0,0,2,1,0,6,0,9,951,12,2018,Williamson
HUTTO PD,NA,0,3,0,8,10,76,1,98,26924,12,2018,Williamson
GEORGETOWN PD,NA,0,22,10,45,94,602,44,817,74709,12,2018,Williamson
SOUTHWESTERN UNIV PD,NA,0,0,0,0,2,14,0,16,0,12,2018,Williamson
LIBERTY HILL PD,NA,0,0,0,2,10,19,4,35,2119,12,2018,Williamson
CEDAR PARK PD,NA,2,36,12,47,103,811,52,1063,79087,12,2018,Williamson
WILSON CO SO,NA,0,2,0,13,80,97,11,203,38631,12,2018,Wilson
FLORESVILLE ISD PD,NA,0,0,0,0,1,18,0,19,0,12,2018,Wilson
FLORESVILLE PD,NA,0,0,4,10,24,26,6,70,7750,12,2018,Wilson
POTH PD (NR),NA,2,1,0,0,2,1,0,6,2273,12,2018,Wilson
LA VERNIA PD,NA,0,0,0,2,2,26,0,30,1464,12,2018,Wilson
KERMIT PD,NA,0,2,1,25,14,30,12,84,6131,12,2018,Winkler
WINKLER CO SO,NA,0,4,0,6,15,41,5,71,479,12,2018,Winkler
WINK PD,NA,0,0,0,0,0,0,0,0,1017,2,2018,Winkler
BRIDGEPORT PD,NA,1,0,0,21,14,35,4,75,6691,12,2018,Wise
DECATUR PD,NA,0,1,0,14,10,115,9,149,6826,12,2018,Wise
WISE CO SO,NA,3,23,6,72,101,208,39,452,50587,12,2018,Wise
BOYD PD,NA,0,0,0,0,1,6,0,7,1443,12,2018,Wise
RUNAWAY BAY PD,NA,0,0,0,0,3,4,1,8,1524,12,2018,Wise
MINEOLA PD,NA,0,0,0,9,10,82,4,105,4713,12,2018,Wood
WOOD CO SO,NA,0,30,0,43,60,117,24,274,34050,12,2018,Wood
HAWKINS PD,NA,0,0,0,3,1,3,3,10,1311,12,2018,Wood
QUITMAN PD,NA,0,5,0,4,10,14,1,34,1826,12,2018,Wood
WINNSBORO PD,NA,0,1,0,5,8,30,0,44,3337,12,2018,Wood
YOAKUM CO SO,NA,0,4,0,1,5,21,4,35,3720,12,2018,Yoakum
DENVER CITY PD,NA,0,1,0,1,11,19,5,37,4933,12,2018,Yoakum
YOUNG CO SO,NA,0,0,2,6,21,12,6,47,6119,12,2018,Young
OLNEY PD,NA,0,1,1,2,15,43,3,65,3078,12,2018,Young
GRAHAM PD,NA,0,11,1,11,12,47,2,84,8656,12,2018,Young
ZAPATA CO SO,NA,0,1,1,5,91,102,9,209,14316,12,2018,Zapata
ZAVALA CO SO,NA,0,5,0,1,19,17,2,44,4668,12,2018,Zavala
CRYSTAL CITY PD (NR),NA,0,0,2,7,35,24,0,68,7279,12,2018,Zavala
PALESTINE PD,NA,0,19,12,76,95,324,36,562,18062,12,2019,Anderson
FRANKSTON PD,NA,0,1,0,1,4,19,4,29,1180,12,2019,Anderson
ANDERSON CO SO,NA,2,3,2,23,150,171,42,393,38415,12,2019,Anderson
ANDREWS PD,NA,0,11,1,48,47,153,21,281,14133,12,2019,Andrews
ANDREWS CO SO,NA,0,3,2,20,22,37,2,86,4340,11,2019,Andrews
HUDSON PD (NR),NA,0,0,0,6,30,31,5,72,4909,12,2019,Angelina
LUFKIN PD,NA,1,28,35,120,261,1183,116,1744,35555,12,2019,Angelina
DIBOLL PD,NA,0,1,0,6,18,31,6,62,5228,12,2019,Angelina
ANGELINA CO SO,NA,1,27,5,64,183,330,54,664,38769,12,2019,Angelina
ANGELINA COLLEGE PD (NR),NA,0,0,0,0,0,4,0,4,0,12,2019,Angelina
HUNTINGTON PD,NA,0,0,0,3,13,11,2,29,2107,12,2019,Angelina
ROCKPORT PD,NA,0,4,3,17,106,303,32,465,10854,12,2019,Aransas
ARANSAS CO SO,NA,0,13,3,44,62,164,14,300,10581,12,2019,Aransas
FULTON PD (NR),NA,0,0,0,0,28,5,1,34,1559,12,2019,Aransas
ARANSAS PASS PD,NA,0,8,6,49,86,256,18,423,8118,12,2019,Aransas
ARCHER CITY PD,NA,0,3,0,3,2,0,0,8,1732,12,2019,Archer
ARMSTRONG CO SO,NA,0,0,0,1,10,5,3,19,1879,12,2019,Armstrong
PLEASANTON PD,NA,0,8,8,20,31,240,20,327,10911,12,2019,Atascosa
JOURDANTON PD,NA,0,0,0,1,2,7,1,11,4537,12,2019,Atascosa
LYTLE PD,NA,0,0,1,0,11,69,13,94,3073,12,2019,Atascosa
PLEASANTON ISD PD,NA,0,0,0,0,0,0,1,1,0,4,2019,Atascosa
ATASCOSA CO SO,NA,2,0,3,42,157,305,88,597,29284,12,2019,Atascosa
POTEET PD,NA,0,1,0,5,20,54,2,82,3524,12,2019,Atascosa
BELLVILLE PD,NA,0,3,1,8,2,38,0,52,4288,12,2019,Austin
SEALY PD,NA,0,0,2,9,36,73,11,131,6593,12,2019,Austin
WALLIS PD,NA,0,0,0,10,2,6,0,18,1322,12,2019,Austin
SEALY ISD PD,NA,0,0,0,0,0,1,0,1,0,12,2019,Austin
AUSTIN CO SO,NA,0,2,0,11,40,29,18,100,17806,12,2019,Austin
BAILEY CO SO,NA,0,1,0,2,15,20,1,39,1939,12,2019,Bailey
MULESHOE PD,NA,0,0,0,4,5,15,1,25,5029,12,2019,Bailey
BANDERA CO SO,NA,0,2,1,16,95,143,27,284,22980,12,2019,Bandera
BASTROP PD,NA,0,9,9,29,42,324,21,434,9714,12,2019,Bastrop
BASTROP ISD PD,NA,0,0,0,1,1,3,0,5,0,12,2019,Bastrop
ELGIN PD,NA,0,2,3,5,25,69,5,109,10475,12,2019,Bastrop
BASTROP CO SO,NA,6,46,18,142,192,349,108,861,64437,12,2019,Bastrop
SMITHVILLE PD,NA,0,0,0,2,11,49,3,65,4565,12,2019,Bastrop
SEYMOUR PD,NA,0,1,0,4,5,16,4,30,2600,12,2019,Baylor
BAYLOR CO SO,NA,0,0,0,0,1,2,0,3,945,12,2019,Baylor
BEEVILLE PD,NA,2,0,5,21,98,239,10,375,12866,12,2019,Bee
BEE CO SO,NA,0,4,0,19,66,99,10,198,19608,12,2019,Bee
NOLANVILLE PD,NA,0,0,2,3,11,50,5,71,5879,12,2019,Bell
KILLEEN ISD PD,NA,0,0,0,3,1,38,1,43,0,12,2019,Bell
BELTON PD,NA,0,20,9,15,57,360,9,470,22741,12,2019,Bell
HARKER HEIGHTS PD,NA,0,14,17,34,68,420,43,596,32527,12,2019,Bell
MORGAN'S POINT RESORT PD,NA,0,3,1,1,3,5,2,15,4637,12,2019,Bell
TX A&M UNIV: CENTRAL TEXAS PD (NR),NA,0,0,0,0,0,0,1,1,0,12,2019,Bell
KILLEEN PD,NA,14,105,124,340,818,2296,318,4015,151832,12,2019,Bell
ROGERS PD,NA,0,0,0,0,5,3,1,9,1225,11,2019,Bell
BELL CO SO,NA,0,27,1,54,152,445,34,713,57142,12,2019,Bell
SALADO PD,NA,0,0,0,2,20,9,3,34,2375,12,2019,Bell
TEMPLE PD,NA,5,69,39,114,243,1294,198,1962,77558,12,2019,Bell
CENTRAL TEXAS COLLEGE PD,NA,0,2,0,0,1,11,0,14,0,12,2019,Bell
TROY PD (NR),NA,0,0,0,4,4,23,3,34,2044,12,2019,Bell
UNIV OF TX: HSC - SAN ANTONIO PD,NA,0,0,0,0,1,19,0,20,0,12,2019,Bexar
EAST CENTRAL ISD PD (NR),NA,0,0,0,24,3,15,0,42,0,12,2019,Bexar
BALCONES HEIGHTS PD,NA,1,3,8,29,23,248,37,349,3366,12,2019,Bexar
BEXAR CO SO,NA,13,145,88,446,990,3801,506,5989,293794,12,2019,Bexar
KIRBY PD,NA,0,2,4,17,53,77,29,182,8841,12,2019,Bexar
SELMA PD,NA,1,5,1,12,21,220,17,277,12054,12,2019,Bexar
HOLLYWOOD PARK PD,NA,0,1,3,0,3,24,5,36,3406,12,2019,Bexar
HILL COUNTRY VILLAGE PD,NA,0,0,0,3,2,31,1,37,1109,12,2019,Bexar
ALAMO COMM COLLEGE DIST PD,NA,0,0,1,2,9,111,11,134,0,12,2019,Bexar
ALAMO HEIGHTS PD,NA,0,1,2,4,19,134,4,164,8808,12,2019,Bexar
FAIR OAKS RANCH PD,NA,0,3,0,3,4,20,4,34,10151,12,2019,Bexar
SHAVANO PARK PD,NA,0,0,0,2,4,16,0,22,4052,12,2019,Bexar
NORTHSIDE ISD PD,NA,0,1,0,2,0,1,0,4,0,5,2019,Bexar
TERRELL HILLS PD,NA,0,1,1,0,52,28,3,85,5496,12,2019,Bexar
HELOTES PD,NA,0,1,0,1,13,63,5,83,9881,12,2019,Bexar
LIVE OAK PD,NA,0,2,9,22,41,570,34,678,16280,12,2019,Bexar
CONVERSE PD,NA,0,6,9,146,54,361,46,622,28598,12,2019,Bexar
UNIVERSAL CITY PD,NA,0,9,22,43,116,416,45,651,21062,12,2019,Bexar
TX A&M UNIV: SAN ANTONIO PD,NA,0,0,0,0,0,11,0,11,0,12,2019,Bexar
UNIV OF TX: SAN ANTONIO PD,NA,0,4,0,6,3,95,4,112,0,12,2019,Bexar
JUDSON ISD PD,NA,0,2,1,3,6,56,0,68,0,11,2019,Bexar
SAN ANTONIO PD,NA,105,1630,1965,7346,8172,51469,7781,78468,1559166,12,2019,Bexar
ST MARY'S UNIV PD,NA,0,2,0,2,2,29,1,36,0,12,2019,Bexar
LEON VALLEY PD,NA,1,0,5,9,52,439,52,558,11644,12,2019,Bexar
OLMOS PARK PD,NA,0,0,0,1,8,23,0,32,2478,12,2019,Bexar
CASTLE HILLS PD,NA,1,2,1,13,39,228,24,308,4515,12,2019,Bexar
WINDCREST PD,NA,0,1,2,2,16,194,15,230,5936,12,2019,Bexar
BLANCO CO SO,NA,0,6,0,10,17,17,7,57,7638,12,2019,Blanco
JOHNSON CITY PD (NR),NA,0,0,0,0,2,4,0,6,2108,8,2019,Blanco
BLANCO PD,NA,0,0,1,2,4,4,5,16,2040,12,2019,Blanco
BORDEN CO SO,NA,0,1,0,0,5,4,1,11,645,12,2019,Borden
BOSQUE CO SO,NA,0,3,0,23,40,24,9,99,12471,12,2019,Bosque
VALLEY MILLS PD,NA,0,0,0,0,2,0,0,2,1211,2,2019,Bosque
CLIFTON PD,NA,0,0,0,1,4,18,2,25,3454,12,2019,Bosque
MAUD PD,NA,0,0,0,4,6,2,0,12,1069,12,2019,Bowie
TEXARKANA PD,NA,3,33,43,78,280,1347,83,1867,37401,12,2019,Bowie
WAKE VILLAGE PD,NA,0,5,1,23,16,53,10,108,5417,12,2019,Bowie
BOWIE CO SO,NA,1,25,2,74,131,170,30,433,37252,12,2019,Bowie
HOOKS PD,NA,0,0,0,2,4,10,4,20,2743,12,2019,Bowie
DE KALB PD (NR),NA,0,1,0,4,12,13,1,31,1615,12,2019,Bowie
NEW BOSTON PD,NA,0,0,0,72,37,172,2,283,4663,12,2019,Bowie
NASH PD,NA,0,2,2,37,15,43,0,99,3783,12,2019,Bowie
ALVIN COMM COLLEGE PD,NA,0,0,0,0,0,0,0,0,0,12,2019,Brazoria
DANBURY PD (NR),NA,0,0,0,0,3,3,1,7,1779,12,2019,Brazoria
ANGLETON ISD PD,NA,0,0,1,8,0,9,0,18,0,12,2019,Brazoria
COLUMBIA-BRAZORIA ISD PD,NA,0,0,0,3,0,3,0,6,0,12,2019,Brazoria
ANGLETON PD,NA,0,15,8,28,39,218,20,328,19660,12,2019,Brazoria
BRAZOSPORT ISD PD,NA,0,1,0,13,1,12,0,27,0,11,2019,Brazoria
FREEPORT PD,NA,0,4,5,36,52,205,0,302,12213,12,2019,Brazoria
RICHWOOD PD,NA,0,3,0,0,13,49,7,72,4007,12,2019,Brazoria
JONES CREEK PD (NR),NA,0,0,1,1,2,11,0,15,2110,12,2019,Brazoria
BROOKSIDE VILLAGE PD (NR),NA,0,0,0,0,5,2,3,10,1603,12,2019,Brazoria
OYSTER CREEK PD,NA,0,0,0,14,7,19,3,43,1170,12,2019,Brazoria
MANVEL PD,NA,0,2,2,9,49,58,11,131,12721,12,2019,Brazoria
SWEENY PD,NA,0,1,3,4,12,59,1,80,3745,12,2019,Brazoria
WEST COLUMBIA PD,NA,0,5,1,6,11,44,9,76,3881,12,2019,Brazoria
SURFSIDE BEACH PD,NA,0,1,0,0,3,19,2,25,594,12,2019,Brazoria
CLUTE PD,NA,0,15,7,26,70,170,31,319,11740,12,2019,Brazoria
ALVIN ISD PD,NA,0,1,0,27,2,135,3,168,0,12,2019,Brazoria
IOWA COLONY PD,NA,0,1,0,0,8,6,0,15,2024,6,2019,Brazoria
LAKE JACKSON PD,NA,2,10,12,33,84,597,22,760,27624,12,2019,Brazoria
BRAZORIA PD,NA,0,2,1,7,7,60,12,89,3123,12,2019,Brazoria
ALVIN PD,NA,1,25,12,27,80,513,74,732,27159,12,2019,Brazoria
PEARLAND PD,NA,3,24,46,39,248,1716,105,2181,126206,12,2019,Brazoria
BRAZORIA CO SO,NA,4,13,34,119,306,851,168,1495,120569,12,2019,Brazoria
BRAZOS CO SO,NA,0,13,1,15,93,200,13,335,23654,12,2019,Brazos
TX A&M UNIV: COLLEGE STATION PD,NA,0,5,3,3,33,354,29,427,0,12,2019,Brazos
COLLEGE STATION PD,NA,3,69,46,134,379,1504,165,2300,119246,12,2019,Brazos
BRYAN PD,NA,2,90,57,221,336,1444,148,2298,86632,12,2019,Brazos
ALPINE PD,NA,1,1,0,10,21,11,4,48,6021,12,2019,Brewster
SUL ROSS STATE UNIV PD,NA,0,0,0,0,5,1,0,6,0,12,2019,Brewster
BREWSTER CO SO,NA,0,1,0,6,5,3,2,17,3189,12,2019,Brewster
BRISCOE CO SO,NA,0,0,0,0,3,1,1,5,1493,12,2019,Briscoe
FALFURRIAS PD,NA,0,0,1,14,48,62,1,126,4819,12,2019,Brooks
BROOKS CO SO,NA,0,0,0,1,0,0,0,1,2238,12,2019,Brooks
BROWNWOOD PD,NA,1,23,6,36,121,491,43,721,18646,12,2019,Brown
BROWN CO SO,NA,0,7,1,23,62,114,13,220,14376,12,2019,Brown
EARLY PD,NA,0,2,0,28,7,42,2,81,3105,12,2019,Brown
BANGS PD,NA,0,1,0,0,1,2,1,5,1540,12,2019,Brown
BURLESON CO SO,NA,1,7,2,10,34,63,3,120,12492,12,2019,Burleson
SOMERVILLE PD,NA,0,0,1,3,8,23,1,36,1497,11,2019,Burleson
CALDWELL PD,NA,0,0,0,3,2,11,0,16,4433,12,2019,Burleson
BERTRAM PD,NA,0,2,0,7,4,2,1,16,1474,12,2019,Burnet
GRANITE SHOALS PD (NR),NA,0,1,1,5,5,23,7,42,5137,12,2019,Burnet
MARBLE FALLS PD,NA,0,8,1,14,53,192,8,276,7047,12,2019,Burnet
BURNET PD,NA,0,4,4,12,28,37,5,90,6452,12,2019,Burnet
BURNET CO SO,NA,0,14,2,43,66,125,35,285,25717,12,2019,Burnet
HORSESHOE BAY PD,NA,0,2,0,4,8,21,1,36,4030,12,2019,Burnet
LOCKHART PD,NA,0,1,1,0,29,117,9,157,14079,12,2019,Caldwell
CALDWELL CO SO,NA,0,5,2,43,26,53,9,138,21790,12,2019,Caldwell
LULING PD,NA,0,7,0,18,12,90,5,132,6027,12,2019,Caldwell
CALHOUN CO ISD PD,NA,0,0,1,1,0,0,0,2,0,8,2019,Calhoun
PORT LAVACA PD,NA,0,8,2,39,54,104,8,215,12072,12,2019,Calhoun
CALHOUN CO SO,NA,0,8,0,14,26,71,6,125,7188,12,2019,Calhoun
CALLAHAN CO SO,NA,0,0,0,5,12,22,10,49,8592,12,2019,Callahan
CLYDE PD,NA,0,0,0,1,36,28,2,67,3868,12,2019,Callahan
BAIRD MARSHAL’S OFFICE,NA,0,1,0,2,10,5,2,20,1508,12,2019,Callahan
CAMERON CO SO,NA,1,46,15,100,298,586,53,1099,103269,12,2019,Cameron
TSTC: HARLINGEN PD,NA,0,1,0,0,0,3,0,4,0,12,2019,Cameron
INDIAN LAKE PD (NR),NA,0,0,0,0,1,0,1,2,858,12,2019,Cameron
COMBES PD,NA,0,0,0,5,9,28,2,44,3064,12,2019,Cameron
RIO HONDO PD,NA,1,0,0,6,8,10,0,25,2806,12,2019,Cameron
HARLINGEN PD,NA,0,59,54,164,446,2623,103,3449,65481,12,2019,Cameron
PRIMERA PD,NA,0,0,0,3,8,47,5,63,5103,12,2019,Cameron
BROWNSVILLE ISD PD,NA,0,0,0,68,3,154,0,225,0,12,2019,Cameron
SANTA ROSA ISD PD,NA,0,0,0,0,0,0,0,0,0,12,2019,Cameron
LA FERIA PD,NA,0,1,1,17,30,104,1,154,7341,12,2019,Cameron
RANCHO VIEJO PD,NA,0,0,0,1,2,5,0,8,2480,12,2019,Cameron
PORT OF BROWNSVILLE PD,NA,0,0,0,1,4,2,0,7,0,12,2019,Cameron
PALM VALLEY PD (NR),NA,0,0,0,0,0,4,0,4,1249,12,2019,Cameron
LAGUNA VISTA PD,NA,0,2,2,1,8,17,2,32,3163,12,2019,Cameron
SOUTH PADRE ISLAND PD,NA,0,21,6,18,18,315,28,406,2805,12,2019,Cameron
LOS FRESNOS PD,NA,0,1,1,51,12,108,4,177,7992,12,2019,Cameron
BROWNSVILLE PD,NA,0,82,144,557,632,3805,121,5341,184418,12,2019,Cameron
SANTA ROSA PD (NR),NA,0,0,0,0,3,5,1,9,2767,12,2019,Cameron
PORT ISABEL PD,NA,1,0,1,6,32,128,0,168,5058,12,2019,Cameron
SAN BENITO PD,NA,1,25,14,121,164,746,36,1107,24394,12,2019,Cameron
LOS INDIOS PD,NA,0,1,0,0,3,7,2,13,1061,12,2019,Cameron
CAMP CO SO,NA,0,2,0,7,31,29,7,76,8313,12,2019,Camp
PITTSBURG PD,NA,0,4,1,15,7,53,5,85,4720,12,2019,Camp
CARSON CO SO,NA,1,2,3,16,9,15,1,47,3626,12,2019,Carson
PANHANDLE PD,NA,0,0,0,7,12,8,5,32,2322,12,2019,Carson
HUGHES SPRINGS PD,NA,0,0,0,2,5,22,1,30,1733,12,2019,Cass
QUEEN CITY PD,NA,1,2,0,11,10,15,1,40,1450,12,2019,Cass
CASS CO SO,NA,0,3,1,28,61,92,21,206,18890,12,2019,Cass
LINDEN PD,NA,0,0,1,2,8,22,2,35,1926,12,2019,Cass
ATLANTA PD,NA,0,14,4,27,26,130,2,203,5497,12,2019,Cass
CASTRO CO SO,NA,0,0,0,6,13,27,8,54,3416,12,2019,Castro
DIMMITT PD,NA,0,4,0,19,11,12,2,48,4146,12,2019,Castro
CHAMBERS CO SO,NA,1,12,8,62,129,404,74,690,32326,12,2019,Chambers
BARBERS HILL ISD PD,NA,0,0,0,0,0,4,0,4,0,12,2019,Chambers
MONT BELVIEU PD,NA,0,1,1,5,16,121,31,175,6647,12,2019,Chambers
CHEROKEE CO SO,NA,1,9,2,50,118,207,49,436,31646,12,2019,Cherokee
JACKSONVILLE PD,NA,2,1,4,40,99,187,34,367,14969,12,2019,Cherokee
RUSK PD,NA,0,0,0,5,23,65,5,98,5582,12,2019,Cherokee
CUNEY PD,NA,0,1,0,0,1,2,0,4,140,4,2019,Cherokee
CHILDRESS CO SO,NA,0,0,0,1,1,5,1,8,1239,12,2019,Childress
CHILDRESS PD,NA,0,1,0,3,13,20,3,40,6034,12,2019,Childress
CLAY CO SO,NA,0,8,0,8,33,49,21,119,10356,12,2019,Clay
COCHRAN CO SO,NA,0,0,0,3,12,15,0,30,2782,12,2019,Cochran
COKE CO SO,NA,0,0,0,2,10,0,4,16,3356,12,2019,Coke
SANTA ANNA PD,NA,0,3,0,0,5,0,1,9,1032,12,2019,Coleman
COLEMAN PD,NA,1,3,0,20,17,15,1,57,4341,12,2019,Coleman
FAIRVIEW PD,NA,0,0,2,10,9,28,5,54,9350,12,2019,Collin
JOSEPHINE PD,NA,0,1,0,3,0,4,0,8,1739,12,2019,Collin
PLANO PD,NA,3,94,129,194,627,3811,430,5288,291611,12,2019,Collin
MURPHY PD,NA,0,2,2,5,9,92,4,114,20962,12,2019,Collin
CELINA PD,NA,0,5,0,9,17,69,7,107,13977,12,2019,Collin
COLLIN CO SO,NA,0,27,4,41,104,191,50,417,43580,12,2019,Collin
ALLEN PD,NA,0,19,15,54,95,997,62,1242,105961,12,2019,Collin
ANNA PD,NA,1,3,2,12,16,110,9,153,15253,12,2019,Collin
MCKINNEY PD,NA,2,65,42,181,254,1578,165,2287,200615,12,2019,Collin
MELISSA PD,NA,0,2,0,5,9,63,1,80,11195,12,2019,Collin
PRINCETON PD,NA,0,3,6,3,14,118,8,152,12569,12,2019,Collin
WYLIE PD,NA,0,16,9,15,21,346,18,425,52921,12,2019,Collin
PARKER PD,NA,0,0,0,0,3,28,0,31,4951,12,2019,Collin
PROSPER PD,NA,0,1,2,13,24,186,14,240,24814,12,2019,Collin
LAVON PD,NA,0,0,1,3,1,21,0,26,3755,12,2019,Collin
FARMERSVILLE PD,NA,0,2,0,5,4,35,4,50,3494,12,2019,Collin
FRISCO PD,NA,1,57,30,82,250,2053,104,2577,199445,12,2019,Collin
COLORADO CO SO,NA,1,6,1,11,29,77,11,136,11589,12,2019,Colorado
EAGLE LAKE PD (NR),NA,0,0,0,6,17,30,4,57,3719,12,2019,Colorado
COLUMBUS PD,NA,0,3,2,5,8,32,3,53,3639,12,2019,Colorado
WEIMAR PD,NA,0,2,0,3,1,17,2,25,2180,12,2019,Colorado
GARDEN RIDGE PD,NA,0,0,0,0,10,23,4,37,4124,12,2019,Comal
BULVERDE PD,NA,0,0,0,3,8,68,7,86,5311,12,2019,Comal
NEW BRAUNFELS PD,NA,2,21,25,175,210,817,106,1356,88706,12,2019,Comal
COMAL CO SO,NA,0,40,9,86,179,373,55,742,68764,12,2019,Comal
COMANCHE PD,NA,2,1,1,9,16,80,5,114,4151,12,2019,Comanche
DE LEON PD,NA,0,1,0,1,16,22,4,44,2162,12,2019,Comanche
COMANCHE CO SO,NA,0,0,0,3,11,41,6,61,7085,12,2019,Comanche
CONCHO CO SO,NA,0,0,0,11,8,0,0,19,4272,12,2019,Concho
OAK RIDGE PD (NR),NA,0,0,0,0,0,0,0,0,245,12,2019,Cooke
GAINESVILLE PD,NA,0,12,5,70,59,301,12,459,16688,12,2019,Cooke
COOKE CO SO,NA,3,8,3,19,38,51,11,133,22814,12,2019,Cooke
COPPERAS COVE PD,NA,0,9,6,114,112,557,22,820,32693,12,2019,Coryell
CORYELL CO SO,NA,0,0,1,3,11,43,0,58,29913,12,2019,Coryell
GATESVILLE PD,NA,0,21,0,10,62,137,5,235,12311,12,2019,Coryell
CRANE CO SO,NA,0,0,0,1,3,2,2,8,1095,11,2019,Crane
CRANE PD,NA,0,3,0,3,4,5,4,19,3725,12,2019,Crane
CROCKETT CO SO,NA,0,0,1,1,9,5,4,20,3453,12,2019,Crockett
CROSBYTON PD (NR),NA,0,0,0,0,8,2,1,11,1602,12,2019,Crosby
CROSBY CO SO,NA,0,1,1,0,13,7,3,25,1137,11,2019,Crosby
RALLS PD (NR),NA,0,0,0,3,8,4,0,15,1814,12,2019,Crosby
CULBERSON CO SO (NR),NA,0,0,0,0,0,0,0,0,2166,12,2019,Culberson
DALLAM CO SO,NA,0,0,0,0,0,0,1,1,1540,12,2019,Dallam
DALHART PD,NA,0,5,0,28,54,104,18,209,8338,12,2019,Dallam
BAYLOR HEALTH CARE SYSTEM PD,NA,0,1,5,2,10,361,32,411,0,12,2019,Dallas
COCKRELL HILL PD,NA,0,2,8,1,2,25,4,42,4202,4,2019,Dallas
GLENN HEIGHTS PD,NA,0,6,10,33,54,178,16,297,13520,12,2019,Dallas
HUTCHINS PD,NA,1,0,10,12,49,122,41,235,5776,12,2019,Dallas
SEAGOVILLE PD,NA,0,2,5,7,73,186,96,369,17120,12,2019,Dallas
UNIV OF TX: DALLAS PD,NA,0,4,0,2,7,115,2,130,0,12,2019,Dallas
DALLAS CO COMM COLL PD,NA,0,1,1,1,2,77,4,86,0,12,2019,Dallas
GRAND PRAIRIE PD,NA,7,50,130,240,507,3144,501,4579,196971,12,2019,Dallas
LANCASTER PD,NA,0,10,53,86,155,682,180,1166,39795,12,2019,Dallas
FARMERS BRANCH PD,NA,1,12,26,26,141,628,173,1007,41932,12,2019,Dallas
ADDISON PD,NA,1,11,18,51,90,510,122,803,16339,12,2019,Dallas
SACHSE PD,NA,0,4,1,9,24,147,14,199,26926,12,2019,Dallas
DUNCANVILLE ISD PD,NA,0,0,1,4,3,47,0,55,0,12,2019,Dallas
CARROLLTON PD,NA,1,17,48,59,186,911,157,1379,139179,7,2019,Dallas
GARLAND PD,NA,11,139,250,338,1003,4337,971,7049,244277,12,2019,Dallas
RICHARDSON PD,NA,4,30,63,84,292,1742,245,2460,123893,12,2019,Dallas
WILMER PD,NA,0,0,5,3,15,84,12,119,4916,12,2019,Dallas
DALLAS CO SO,NA,0,11,4,28,54,206,47,350,0,12,2019,Dallas
DUNCANVILLE PD,NA,1,14,80,81,150,773,178,1277,39430,12,2019,Dallas
MESQUITE PD,NA,7,47,243,389,663,3660,876,5885,143078,12,2019,Dallas
BALCH SPRINGS PD,NA,2,15,28,114,90,510,220,979,25511,12,2019,Dallas
HIGHLAND PARK PD,NA,0,4,1,5,35,144,14,203,9251,12,2019,Dallas
DALLAS CO. HOSP DIST PD (NR),NA,0,0,3,9,5,272,13,302,0,12,2019,Dallas
OVILLA PD,NA,0,0,0,1,2,10,0,13,4232,12,2019,Dallas
ROWLETT PD,NA,0,20,16,44,106,716,72,974,67604,12,2019,Dallas
DALLAS PD,NA,201,759,4515,6373,8759,26884,10971,58462,1363295,12,2019,Dallas
COPPELL PD,NA,1,11,5,10,52,460,16,555,42181,12,2019,Dallas
DESOTO PD,NA,3,18,58,97,172,846,170,1364,54026,12,2019,Dallas
SOUTHERN METHODIST UNIV PD,NA,0,4,3,3,11,139,8,168,0,12,2019,Dallas
IRVING PD,NA,5,56,294,262,719,4552,711,6599,245423,12,2019,Dallas
UNIV OF TX: SW MED SCHOOL PD,NA,0,0,0,1,5,219,4,229,0,12,2019,Dallas
CEDAR HILL PD,NA,4,12,24,59,76,1097,79,1351,48866,12,2019,Dallas
UNIVERSITY PARK PD,NA,0,1,3,2,18,137,36,197,25434,12,2019,Dallas
DAWSON CO SO,NA,0,0,0,2,27,25,12,66,3287,12,2019,Dawson
LAMESA PD,NA,2,7,12,53,109,271,18,472,8997,12,2019,Dawson
DEAF SMITH CO SO,NA,0,1,0,7,18,32,10,68,3824,12,2019,Deaf Smith
HEREFORD PD,NA,0,1,5,75,67,217,26,391,14733,12,2019,Deaf Smith
DELTA CO SO,NA,0,0,0,1,10,16,1,28,5329,12,2019,Delta
DENTON CO SO,NA,1,43,7,44,88,301,53,537,137906,12,2019,Denton
PILOT POINT PD,NA,0,0,0,2,9,6,4,21,4452,12,2019,Denton
BARTONVILLE PD,NA,0,0,1,1,1,6,1,10,1752,12,2019,Denton
THE COLONY PD,NA,1,67,13,46,73,511,60,771,44356,12,2019,Denton
AUBREY ISD PD,NA,0,0,0,0,1,2,0,3,0,11,2019,Denton
LAKE DALLAS PD,NA,1,3,2,16,20,84,12,138,8052,12,2019,Denton
LITTLE ELM PD,NA,0,27,6,21,27,159,27,267,54598,12,2019,Denton
TROPHY CLUB PD,NA,0,0,1,0,12,49,3,65,13031,12,2019,Denton
ROANOKE PD,NA,0,2,3,7,17,93,5,127,9563,12,2019,Denton
